"Storage 105444 AM - RawData - C:\WINDOWS\Desktop\Dylan Grassie\Experiments\Cc\06-10-15\Trial 1\Cc_pH7_HEPESbuffer.spc"
"Wavelength nm.","Abs."
544.0,0.09821
545.0,0.10345
546.0,0.10982
547.0,0.11578
548.0,0.12036
549.0,0.12291
550.0,0.12218
551.0,0.11775
552.0,0.11053
553.0,0.10254
554.0,0.09544
555.0,0.08992
556.0,0.08618
557.0,0.08336
558.0,0.08095
559.0,0.07924
560.0,0.07803
561.0,0.07709
562.0,0.07645
563.0,0.07584
564.0,0.07527
565.0,0.07489
566.0,0.07469
567.0,0.07445
568.0,0.07428
569.0,0.07410
570.0,0.07372
571.0,0.07341
572.0,0.07318
573.0,0.07330
574.0,0.07347
575.0,0.07329
576.0,0.07317
577.0,0.07312
578.0,0.07288
579.0,0.07272
580.0,0.07272
581.0,0.07265
582.0,0.07263
583.0,0.07256
584.0,0.07262
585.0,0.07272
586.0,0.07260
587.0,0.07253
588.0,0.07253
589.0,0.07249
590.0,0.07231
591.0,0.07214
592.0,0.07222
593.0,0.07210
594.0,0.07216
595.0,0.07234
596.0,0.07217
597.0,0.07210
598.0,0.07202
599.0,0.07205
600.0,0.07219
601.0,0.07233
602.0,0.07245
603.0,0.07230
604.0,0.07220
605.0,0.07225
606.0,0.07225
607.0,0.07220
608.0,0.07204
609.0,0.07195
610.0,0.07210
611.0,0.07228
612.0,0.07225
613.0,0.07213
614.0,0.07201
615.0,0.07208
616.0,0.07208
617.0,0.07201
618.0,0.07211
619.0,0.07184
620.0,0.07162
621.0,0.07153
622.0,0.07153
623.0,0.07167
624.0,0.07147
625.0,0.07153
626.0,0.07158
627.0,0.07137
628.0,0.07135
629.0,0.07144
630.0,0.07149
631.0,0.07143
632.0,0.07137
633.0,0.07143
634.0,0.07146
635.0,0.07153
636.0,0.07147
637.0,0.07140
638.0,0.07124
639.0,0.07123
640.0,0.07149
641.0,0.07150
642.0,0.07130
643.0,0.07109
644.0,0.07103
645.0,0.07097
646.0,0.07098
647.0,0.07100
648.0,0.07086
649.0,0.07079
650.0,0.07077
651.0,0.07083
652.0,0.07089
653.0,0.07097
654.0,0.07111
655.0,0.07108
656.0,0.07097
657.0,0.07097
658.0,0.07106
659.0,0.07106
660.0,0.07111
661.0,0.07115
662.0,0.07092
663.0,0.07074
664.0,0.07077
665.0,0.07088
666.0,0.07092
667.0,0.07091
668.0,0.07086
669.0,0.07074
670.0,0.07072
671.0,0.07076
672.0,0.07063
673.0,0.07054
674.0,0.07053
675.0,0.07053
676.0,0.07040
677.0,0.07047
678.0,0.07048
679.0,0.07050
680.0,0.07069
681.0,0.07065
682.0,0.07072
683.0,0.07069
684.0,0.07065
685.0,0.07059
686.0,0.07056
687.0,0.07056
688.0,0.07063
689.0,0.07066
690.0,0.07056
691.0,0.07076
692.0,0.07068
693.0,0.07047
694.0,0.07053
695.0,0.07053
696.0,0.07050
697.0,0.07063
698.0,0.07091
699.0,0.07101
700.0,0.07101
701.0,0.07094
702.0,0.07097
703.0,0.07092
704.0,0.07062
705.0,0.07085
706.0,0.07115
707.0,0.07133
708.0,0.07158
709.0,0.07169
710.0,0.07178
711.0,0.07184
712.0,0.07219
713.0,0.07222
714.0,0.07205
715.0,0.07225
716.0,0.07253
717.0,0.07291
718.0,0.07307
719.0,0.07309
720.0,0.07332
721.0,0.07378
722.0,0.07411
723.0,0.07410
724.0,0.07419
725.0,0.07460
726.0,0.07510
727.0,0.07561
728.0,0.07573
729.0,0.07600
730.0,0.07677
731.0,0.07738
732.0,0.07774
733.0,0.07806
734.0,0.07846
735.0,0.07874
736.0,0.07901
737.0,0.07939
738.0,0.07990
739.0,0.07996
740.0,0.07983
741.0,0.07980
742.0,0.07967
743.0,0.07968
744.0,0.07983
745.0,0.07974
746.0,0.07968
747.0,0.07973
748.0,0.07959
749.0,0.07974
750.0,0.07967
751.0,0.07965
752.0,0.07993
753.0,0.07977
754.0,0.07982
755.0,0.07997
756.0,0.07968
757.0,0.07944
758.0,0.07953
759.0,0.07950
760.0,0.07988
761.0,0.08057
762.0,0.08043
763.0,0.08032
764.0,0.08047
765.0,0.08031
766.0,0.08017
767.0,0.08014
768.0,0.08000
769.0,0.07985
770.0,0.07971
771.0,0.07968
772.0,0.07996
773.0,0.08009
774.0,0.07979
775.0,0.07954
776.0,0.07948
777.0,0.07965
778.0,0.07979
779.0,0.07980
